id;region_id;address_district_id;address_settlement_type_id;name;kato_id;parent_name;id;resource;id;kato_version;address_settlement_id;kato_id;id;region_id;address_district_type_id;name;kato_id;id;resource;id;kato_version;address_district_id;kato_id;id;resource;region_type_id;code;kato_id;id;resource;id;kato_version;region_id;kato_id
1024;1014;230;1;Актау;471010000;;1;settlement.type.city;8216;1;1024;471010000;230;1014;7;Актау;471000000;7;district.type.ga;386;1;230;471000000;1014;region.kz.mangistauskaia;1;470000000;470000000;1;region.type.obl;45;1;1014;470000000
1025;1014;231;1;Жанаозен;471810000;;1;settlement.type.city;8217;1;1025;471810000;231;1014;7;Жанаозен;471800000;7;district.type.ga;387;1;231;471800000;1014;region.kz.mangistauskaia;1;470000000;470000000;1;region.type.obl;45;1;1014;470000000
1027;1016;238;1;Арысь;611610000;;1;settlement.type.city;8218;1;1027;611610000;238;1016;7;Арысь;611600000;7;district.type.ga;394;1;238;611600000;1016;region.kz.turkestanskaia;1;610000000;610000000;1;region.type.obl;47;1;1016;610000000
1028;1016;239;1;Кентау;612010000;;1;settlement.type.city;8219;1;1028;612010000;239;1016;7;Кентау;612000000;7;district.type.ga;395;1;239;612000000;1016;region.kz.turkestanskaia;1;610000000;610000000;1;region.type.obl;47;1;1016;610000000
1029;1016;240;1;Туркестан;611010000;;1;settlement.type.city;8220;1;1029;611010000;240;1016;7;Туркестан;611000000;7;district.type.ga;396;1;240;611000000;1016;region.kz.turkestanskaia;1;610000000;610000000;1;region.type.obl;47;1;1016;610000000
1030;1015;252;1;Павлодар;551010000;;1;settlement.type.city;8221;1;1030;551010000;252;1015;7;Павлодар;551000000;7;district.type.ga;408;1;252;551000000;1015;region.kz.pavlodarskaia;1;550000000;550000000;1;region.type.obl;46;1;1015;550000000
1031;1015;253;1;Аксу;551610000;;1;settlement.type.city;8222;1;1031;551610000;253;1015;7;Аксу;551600000;7;district.type.ga;409;1;253;551600000;1015;region.kz.pavlodarskaia;1;550000000;550000000;1;region.type.obl;46;1;1015;550000000
1032;1015;254;1;Экибастуз;552210000;;1;settlement.type.city;8223;1;1032;552210000;254;1015;7;Экибастуз;552200000;7;district.type.ga;410;1;254;552200000;1015;region.kz.pavlodarskaia;1;550000000;550000000;1;region.type.obl;46;1;1015;550000000
1033;1011;265;1;Петропавловск;591010000;;1;settlement.type.city;8224;1;1033;591010000;265;1011;7;Петропавловск;591000000;7;district.type.ga;421;1;265;591000000;1011;region.kz.severokaz;1;590000000;590000000;1;region.type.obl;42;1;1011;590000000
1034;1007;279;1;Усть-Каменогорск;631010000;;1;settlement.type.city;8225;1;1034;631010000;279;1007;7;Усть-Каменогорск;631000000;7;district.type.ga;435;1;279;631000000;1007;region.kz.vostochnokaz;1;630000000;630000000;1;region.type.obl;38;1;1007;630000000
1035;1007;280;1;Аягоз;631810000;;1;settlement.type.city;8226;1;1035;633420000;280;1007;7;Аягоз;631800000;7;district.type.ga;436;1;280;631800000;1007;region.kz.vostochnokaz;1;630000000;630000000;1;region.type.obl;38;1;1007;630000000
1036;1007;281;1;Зыряновск;632010000;;1;settlement.type.city;8227;1;1036;634820100;281;1007;7;Зыряновск;632000000;7;district.type.ga;437;1;281;632000000;1007;region.kz.vostochnokaz;1;630000000;630000000;1;region.type.obl;38;1;1007;630000000
1037;1007;282;1;Курчатов;632210000;;1;settlement.type.city;8228;1;1037;632210000;282;1007;7;Курчатов;632200000;7;district.type.ga;438;1;282;632200000;1007;region.kz.vostochnokaz;1;630000000;630000000;1;region.type.obl;38;1;1007;630000000
